City_ID,City,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,Lasa,46.6166,10.7002,overcast clouds,58.03,97,100,6.35,IT,2021-08-01 18:55:02
201,Hornepayne,49.2138,-84.7705,scattered clouds,67.21,55,32,8.9,CA,2021-08-01 19:04:44
202,Sawakin,19.1059,37.3321,few clouds,97.66,39,13,23.04,SD,2021-08-01 19:04:44
203,Lodwar,3.1191,35.5973,broken clouds,86.83,33,69,3.53,KE,2021-08-01 18:54:26
204,Cayenne,4.9333,-52.3333,few clouds,89.64,78,13,5.99,GF,2021-08-01 18:59:02
205,Saint-Francois,46.4154,3.9054,clear sky,63.84,63,0,5.75,FR,2021-08-01 19:03:05
206,Bandarbeyla,9.4942,50.8122,clear sky,78.06,81,1,27.11,SO,2021-08-01 19:04:45
207,Cyangugu,-2.4846,28.9075,scattered clouds,61.27,65,40,1.74,RW,2021-08-01 19:04:45
208,Perevolotskiy,51.8763,54.1938,broken clouds,76.59,41,52,2.46,RU,2021-08-01 19:04:46
209,Buala,-8.145,159.5921,moderate rain,77.76,86,96,6.06,SB,2021-08-01 18:59:20
210,Namatanai,-3.6667,152.4333,light rain,78.3,84,11,6.55,PG,2021-08-01 19:03:19
211,Tanabe,33.7333,135.3667,broken clouds,78.93,81,77,4.47,JP,2021-08-01 19:04:46
212,Otradnoye,59.7775,30.8181,clear sky,64.56,70,6,9.75,RU,2021-08-01 19:04:46
213,Katsuura,35.1333,140.3,clear sky,80.71,86,1,6.64,JP,2021-08-01 19:03:08
214,Argudan,43.4214,43.9158,overcast clouds,76.08,64,91,7.78,RU,2021-08-01 19:04:47
215,San Cristobal,7.7669,-72.225,scattered clouds,84.38,67,48,8.79,VE,2021-08-01 18:58:54
216,Poronaysk,49.2167,143.1167,scattered clouds,54.9,84,35,3.4,RU,2021-08-01 19:04:47
217,Almaznyy,48.0448,40.045,scattered clouds,80.74,52,35,4.18,RU,2021-08-01 19:04:48
218,Coquimbo,-29.9533,-71.3436,clear sky,62.33,67,0,9.22,CL,2021-08-01 18:58:46
219,Korocha,50.8107,37.1953,broken clouds,81.32,47,82,8.05,RU,2021-08-01 19:04:48
220,Northam,51.0333,-4.2167,clear sky,64.38,79,9,8.43,GB,2021-08-01 19:04:49
221,Fairbanks,64.8378,-147.7164,overcast clouds,70.09,69,100,1.01,US,2021-08-01 18:59:32
222,Ca Mau,9.1769,105.15,broken clouds,78.17,88,57,6.35,VN,2021-08-01 19:04:49
223,Marsh Harbour,26.5412,-77.0636,broken clouds,84.99,70,53,9.08,BS,2021-08-01 19:03:05
224,Petropavlovsk-Kamchatskiy,53.0452,158.6483,fog,46.99,100,0,8.95,RU,2021-08-01 19:04:50
225,Broken Hill,-31.95,141.4333,clear sky,46.11,87,0,10.36,AU,2021-08-01 18:56:12
226,Vanimo,-2.6741,141.3028,light rain,77.22,89,36,4.43,PG,2021-08-01 19:01:17
227,Korla,41.7597,86.1469,overcast clouds,77.81,16,100,4.61,CN,2021-08-01 18:55:26
228,Hofn,64.2539,-15.2082,overcast clouds,54.3,92,100,2.17,IS,2021-08-01 18:59:03
229,Port Moresby,-9.4431,147.1797,few clouds,67.42,94,20,5.75,PG,2021-08-01 18:56:39
230,Ballina,-28.8667,153.5667,few clouds,61.79,87,15,15.14,AU,2021-08-01 19:03:44
231,Itarema,-2.9248,-39.9167,overcast clouds,83.79,61,100,17.38,BR,2021-08-01 18:58:43
232,Kalmunai,7.4167,81.8167,overcast clouds,81.95,71,100,3.87,LK,2021-08-01 18:54:59
233,Malanville,11.8685,3.3899,overcast clouds,81.48,72,93,9.6,BJ,2021-08-01 19:04:51
234,Hambantota,6.1241,81.1185,few clouds,79.14,94,20,6.91,LK,2021-08-01 18:58:55
235,Bengkulu,-3.8004,102.2655,overcast clouds,74.89,89,89,4.99,ID,2021-08-01 18:59:22
236,Cherskiy,68.75,161.3,overcast clouds,35.17,90,96,18.48,RU,2021-08-01 19:02:38
237,Ponta Do Sol,32.6667,-17.1,clear sky,75.7,72,3,4.85,PT,2021-08-01 18:58:34
238,Chuy,-33.6971,-53.4616,scattered clouds,56.35,75,30,5.95,UY,2021-08-01 18:58:32
239,Caravelas,-17.7125,-39.2481,overcast clouds,71.13,55,100,9.78,BR,2021-08-01 18:59:10
240,La Ronge,55.1001,-105.2842,clear sky,79.18,34,5,1.7,CA,2021-08-01 19:03:06
241,Malanje,-9.5402,16.341,clear sky,71.8,26,0,1.79,AO,2021-08-01 19:04:52
242,Batagay-Alyta,67.8006,130.4114,clear sky,54.16,66,5,1.99,RU,2021-08-01 18:55:46
243,Burnie,-41.0667,145.9167,overcast clouds,44.89,78,100,4.45,AU,2021-08-01 18:58:49
244,Sovetskoye,52.2861,85.4131,few clouds,60.48,65,21,6.2,RU,2021-08-01 19:04:53
245,Isangel,-19.55,169.2667,overcast clouds,66.87,70,85,12.64,VU,2021-08-01 19:03:21
246,Sidi Ali,36.0998,0.4206,few clouds,72.93,51,13,3.76,DZ,2021-08-01 19:04:53
247,Esperance,-33.8667,121.9,overcast clouds,51.64,57,93,25.05,AU,2021-08-01 18:58:34
248,Santa Cruz,-17.8,-63.1667,smoke,76.46,21,75,23.02,BO,2021-08-01 18:55:00
249,Muros,42.7762,-9.0603,overcast clouds,65.98,92,100,5.32,ES,2021-08-01 19:02:45
250,Guerrero Negro,27.9769,-114.0611,clear sky,85.44,51,5,9.66,MX,2021-08-01 18:58:37
251,Aklavik,68.2191,-135.0107,overcast clouds,82.31,31,100,10.96,CA,2021-08-01 19:02:51
252,Vallenar,-28.5708,-70.7581,clear sky,86.47,9,0,6.58,CL,2021-08-01 18:56:12
253,Kaifeng,34.7911,114.3483,few clouds,76.33,92,11,10.2,CN,2021-08-01 19:04:54
254,Ciudad Bolivar,8.1222,-63.5497,broken clouds,83.84,70,51,9.78,VE,2021-08-01 19:03:17
255,Tukrah,32.5341,20.5791,clear sky,81.91,69,0,8.72,LY,2021-08-01 19:04:55
256,Porangatu,-13.4408,-49.1486,clear sky,94.14,19,5,8.32,BR,2021-08-01 19:04:55
257,Aswan,24.0934,32.907,clear sky,96.3,13,9,9.17,EG,2021-08-01 19:04:55
258,Izumo,35.3667,132.7667,overcast clouds,76.51,83,100,4.74,JP,2021-08-01 19:04:56
259,Havelock,34.8791,-76.9013,overcast clouds,91.63,89,100,12.88,US,2021-08-01 19:04:57
